A11,A22,A33,A23,A13,A12,B11,B22,B33,B23,B13,B12 ,D11,D22,D33,D23,D13,D12
17.29414491,436.8338416,0.152018449,7.225813521,-12.36688524,24.48242994,0.773833011,-0.790457078,2.4160106,3.32802224,1.331194919,7.026464337,846.0670901,5273.926884,445.1362389,-12.99496007,5.378603748,497.3936948
41.87744701,360.0748294,14.07928455,0.015397004,0.013980527,22.27157873,-10.1183384,0.042005678,0.104041762,0.000147004,0.000498318,-3.333699275,1371.858347,4740.879906,470.8072744,0.705597855,0.74122332,762.185966
40.53128807,415.7509874,16.92853213,0.107245052,0.132856075,20.4156299,0.000286847,0.00012186,0.00508882,-0.848766712,-0.459762357,0.000229173,1333.578986,5365.492605,555.6158322,0.368728677,0.877474271,644.0417042
19.07004793,379.6756551,23.93143949,-47.74436838,-11.1227122,6.549531302,-0.004618602,-0.00083383,-0.00125831,-0.002319794,-0.011374799,-0.002761078,605.5096374,4622.127185,540.5834045,-559.776938,-283.9130758,85.27292511
20.3457085,420.1874212,23.25994441,10.5015472,2.224352864,17.69428943,0.614746188,-2.597962985,0.392409057,2.767899372,-0.620354826,-5.056725066,844.9530745,5326.900192,439.025943,40.73427401,-1.37832147,459.2612671
25.80958927,407.4285587,14.97288517,0.024003996,0.024104992,12.85564978,0.736108544,5.237201748,1.62657509,-0.003007714,-0.003190889,3.335924019,892.7968407,5212.304144,456.9264319,-0.01249975,0.016388956,472.2771664
42.24592349,362.5108562,14.21483955,0.01518958,0.014213655,22.49411596,-9.968664563,0.033059033,0.084542958,0.000258354,0.000666694,-3.209674184,1386.505682,4775.175931,476.7316929,0.584160947,0.610492798,769.0871517
37.70209276,330.9000446,11.97453264,0.033677551,0.019945563,19.54102329,1.5e-05,4.75e-06,-5.56e-05,0.406908469,-11.03930152,1.18e-05,1204.035587,4331.765778,408.1280022,-0.005731282,0.00112013,677.3044753
20.88761867,329.1435134,49.5231704,89.78695528,18.59129814,12.3631514,-0.000190856,0.000458084,-5.01e-05,0.000593832,-0.000301794,-4.19e-05,691.0163622,3871.604985,627.2420822,936.309027,347.5157348,108.839118
50.57862635,419.5977515,17.97059263,-0.072221624,-0.073637866,26.29551957,-8.17e-05,-2.27e-05,0.000983242,0.530308139,0.088562967,-5.33e-05,1722.597816,5545.30719,594.4445599,-0.129604298,-0.26034983,884.9531449
21.46033617,357.1386363,31.09170619,67.71886971,13.47352083,8.526855507,-0.366053598,-0.103003914,116.2385804,-75.8240549,9.491607933,-0.078422752,741.9072347,4369.663017,519.510484,759.7010026,353.7051582,147.8154228
34.38038108,411.4318033,15.99053162,0.038509076,0.039249829,15.39129343,1.11e-06,3.26e-07,-4.13e-05,2.03656936,1.493555654,-2.51e-07,1152.899193,5257.796757,526.3679913,-0.531151229,-0.902281668,512.9178991
29.37768737,408.4488556,20.80961723,0.507109846,0.810803234,13.17459556,1.174670451,-5.166732302,1.113776889,0.231946099,0.377478066,-2.701526301,984.704418,5228.690168,617.7648014,0.6058966,3.420522863,434.990505
