ε11,ε22,ε12,ɣ13,ɣ23,κ11,κ22,κ12,A11,A22,A33,A23,A13,A12,B11,B22,B33,B23,B13,B12 ,D11,D22,D33,D23,D13,D12,K11,K22,K12
1,1,0.093243243,0,0,0,0,0.000810811,21.67779029,383.2604063,20.64052248,45.63834691,10.93603707,5.735692413,-0.156765181,-0.260967587,-0.788999553,11.95593286,3.835708694,0.026801508,724.2798542,4698.78368,485.2858446,571.1017784,338.8144704,113.7183393,-0.00028061,-0.00027858,-0.000279595
1,1,0,0.005405405,0,0,0,0,52.33280404,420.4459286,18.08438565,0.023673054,0.023757524,27.39315187,2.42E-06,8.78E-06,-2.25E-07,4.07E-06,1.30E-06,5.10E-06,1780.473502,5581.60946,604.9702748,2.75E-05,6.96E-06,922.7723742,7.718914822,48.18483171,0.029986832
1,1.003513514,0,0.028378378,0,0,0,0,51.47228425,417.181396,19.53927246,0.017866082,0.016845271,26.90134976,9.05E-05,0.000104063,-6.70E-06,5.28E-05,4.32E-05,9.64E-05,1745.322407,5526.746814,610.5412879,0.000343872,0.000267715,905.3605898,7.56770256,37.63104221,-0.405203379
1,1,0,0,0,0,0,0.001486486,51.76231979,420.1830658,18.03908571,0.01634242,0.013429044,27.0642632,-2.60E-05,-9.86E-06,-0.000618491,0.403332835,0.012693851,-9.24E-06,1759.746132,5564.726704,598.9858165,-0.072364555,-0.104556595,908.3557773,-0.001104305,-0.001897043,-0.001500674
1,1,0,-0.035135135,0,0,0,0.003513514,36.70460078,412.3133628,16.70320809,0.039142648,0.04370995,16.78071864,0.000898333,0.000196341,0.000143661,1.700578532,1.259682445,0.000544319,1232.014622,5296.831478,550.4860322,-0.259092388,-0.293125864,560.1460372,7.905863601,45.99561314,-0.003276913
1,1,0,0.017567568,0,0,0,0.001756757,45.31403159,417.9330495,17.67782082,-0.293523747,-0.379184839,23.3422948,-0.001441683,-0.000988875,0.022429731,0.796349918,0.572052838,-0.001201981,1494.966801,5461.246399,586.1880713,-0.37511832,-0.550719964,747.2758912,7.774311136,47.23006541,0.284642907
1,1,0,-0.027027027,0,0,0,0.002702703,44.69309586,415.6482962,17.2568038,0.025357445,0.02533576,21.84589635,-2.31E-05,3.78E-06,-1.84E-05,1.16347995,0.667193953,-9.87E-06,1361.196537,5388.588595,573.2322776,-0.177343369,-0.119826979,661.8310846,7.759507709,37.74594326,-0.087403914
1,1,0,0,-0.017567568,0,0,-0.001756757,42.89707691,416.0053461,18.54517742,-0.952517318,-0.821609265,21.37806966,0.002249692,0.001085345,0.039969933,-0.357363266,-0.234797061,0.001691905,1501.589013,5477.995024,584.7501847,0.099504229,0.061902121,767.692704,8.296874846,47.46538275,-0.086480212
1.110135135,1,0,0,0,0,-0.001351351,0,44.69021045,373.5852965,15.50819162,0.016699968,0.015821532,23.61790087,-1.511096403,-0.585715641,-0.823283957,0.000185329,-4.92E-05,4.969427817,1481.188737,4937.737361,510.131827,0.893817946,0.931657558,806.1213244,0.00103438,0.00012214,0.00057826
1.191891892,1,0,0.012162162,0,0,0,0,40.41542842,350.5974582,13.30943735,0.015209137,0.013335225,21.40382157,8.52E-05,-5.27E-05,-2.81E-06,6.97E-06,-1.66E-05,-2.03E-06,1314.140363,4607.83199,451.4246276,0.000143571,4.43E-06,735.349811,7.613721051,0,-0.000211174
1,1,0,-0.040540541,-0.040540541,0,0,0,40.68695408,412.4354771,15.77342694,-3.663825672,-3.166751803,18.97094881,1.91E-05,1.21E-05,2.14E-05,2.69E-05,2.70E-05,8.48E-06,1373.706177,5372.266513,567.9195474,-80.44958283,-95.50404658,659.116721,6.7091603,46.52272632,-0.85347042
